,precision,recall,f1-score,support
Shringara,0.8875786163522013,0.9046474358974359,0.896031746031746,1248.0
Hasya,0.9956011730205279,0.9840579710144928,0.9897959183673469,690.0
Karuna,0.8901960784313725,0.8426914153132251,0.8657926102502981,2155.0
Raudra,0.7614678899082569,0.8396887159533074,0.7986676535899334,1285.0
Veera,0.8733162283515074,0.8671974522292993,0.8702460850111856,3140.0
Bhayanaka,0.95042194092827,0.9279093717816684,0.9390307451797811,971.0
Bibhatsa,0.9827586206896551,0.9827586206896551,0.9827586206896551,696.0
Adbhuta,0.841313269493844,0.8925979680696662,0.8661971830985916,689.0
Shanta,0.9373479318734793,0.9205495818399044,0.9288728149487643,1674.0
accuracy,0.8899426203379025,0.8899426203379025,0.8899426203379025,0.8899426203379025
macro avg,0.9022224165610128,0.9068998369765171,0.9041548196852559,12548.0
weighted avg,0.8917261438034727,0.8899426203379025,0.8904520500922374,12548.0
